"Marriages and Divorces by County, TX 2013",,
County,Marriages*,Divorces**
TEXAS,"179,173","76,423"
ANDERSON,396,130
ANDREWS,113,61
ANGELINA,656,421
ARANSAS,265,109
ARCHER,46,25
ARMSTRONG,9,5
ATASCOSA,306,45
AUSTIN,183,91
BAILEY,38,24
BANDERA,106,66
BASTROP,462,254
BAYLOR,27,9
BEE,225,47
BELL,"3,949","2,142"
BEXAR,"12,650","3,708"
BLANCO,74,43
BORDEN,2,0
BOSQUE,83,58
BOWIE,552,464
BRAZORIA,"1,963","1,117"
BRAZOS,"1,348",261
BREWSTER,60,0
BRISCOE,8,5
BROOKS,53,19
BROWN,279,71
BURLESON,111,26
BURNET,260,188
CALDWELL,173,119
CALHOUN,153,50
CALLAHAN,62,43
CAMERON,"2,295",878
CAMP,106,33
CARSON,37,8
CASS,167,132
CASTRO,38,14
CHAMBERS,212,162
CHEROKEE,349,167
CHILDRESS,45,14
CLAY,59,20
COCHRAN,25,7
COKE,11,14
COLEMAN,47,45
COLLIN,"5,063","2,843"
COLLINGSWORTH,22,16
COLORADO,133,46
COMAL,992,85
COMANCHE,85,25
CONCHO,15,11
COOKE,433,128
CORYELL,464,323
COTTLE,3,0
CRANE,25,0
CROCKETT,6,3
CROSBY,30,20
CULBERSON,5,7
DALLAM,124,22
DALLAS,"15,241","7,032"
DAWSON,87,26
DEAF SMITH,141,31
DELTA,27,21
DENTON,"4,294","2,586"
DEWITT,131,59
DICKENS,16,9
DIMMIT,70,2
DONLEY,26,10
DUVAL,69,21
EASTLAND,139,70
ECTOR,"1,271",491
EDWARDS,10,0
ELLIS,"1,054",223
EL PASO,"6,653",244
ERATH,276,142
FALLS,75,13
FANNIN,208,174
FAYETTE,142,89
FISHER,19,11
FLOYD,27,14
FOARD,3,3
FORT BEND,"2,922","1,725"
FRANKLIN,58,36
FREESTONE,139,53
FRIO,114,28
GAINES,204,24
GALVESTON,"1,991","1,115"
GARZA,34,16
GILLESPIE,167,77
GLASSCOCK,5,1
GOLIAD,48,8
GONZALES,122,77
